lot,n,tipologie
http://w3id.org/zac/87742_lot_10,12,Aquarelle; Kupferstiche; Glasbilder; Oelgemald | ARMI | Mobel; Holzgegenstande | Messing; Kupfersachen | Glas; Krystall; Spiegel | FOTOGRAFIE | OGGETTI IN RAME | OGGETTI VARI | Porzellan; Fayencen; Marmor; Steingut | VETRI | Portieren; Geweihe | SCATOLE
http://w3id.org/zac/87763_lot_2,12,ARAZZI | Altertumer; Kunstgegenstande | Gobelets; Canettes; Gourdes; Becher; Kannen; Schrauben | OGGETTI IN LATTA | OGGETTI IN RAME | OGGETTI VARI | VASI | Taufbecken; Kelche; Weihwasserbecken; Kirchenlampen | plats; assiettes; Platten; Teller | PLACCHETTE | Tableaux; Peintures; Gravures | PIATTI
http://w3id.org/zac/87763_lot_9,12,CORNICI | Altertumer; Kunstgegenstande | MEDAGLIE | MINIATURE | Munzen; Medaillen | MUNZEN; MEDAILLEN | OGGETTI IN LEGNO | Taufbecken; Kelche; Weihwasserbecken; Kirchenlampen | PLACCHETTE | plats; assiettes; Platten; Teller | PIATTI | STAMPE E INCISIONI | Tableaux; Peintures; Gravures
http://w3id.org/zac/88058_lot_13,12,BESTECKE; WAFFEN; BUCHER; EINBANDE | MINIATUREN; BILDER; STICHE | FAYENCE; MAJOLIKA; STEINGUT; GLAS | MINIATUREN; OLBILDER; STICHE | DOSEN; TASCHENUHREN; FACHER | OGGETTI IN CERA | OGGETTI IN FERRO | OGGETTI IN RAME | OGGETTI VARI | SCATOLE | SPECCHI | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER
http://w3id.org/zac/88321_lot_3,12,CORNICI | GOLD; SILBER | Gold; Silber | OGGETTI IN LEGNO | OGGETTI VARI | SCULTURE | PORCELLANE | TESSUTI | STAMPE E INCISIONI | SCOMPARTI | VASI | PLAKETTEN; MUNZEN; MINIATUREN; BUCHER | PIATTI
http://w3id.org/zac/88550_lot_1,12,BRONZI | ALABASTRI | MAIOLICHE | OGGETTI IN LATTA | OGGETTI IN ORO | OGGETTI IN LEGNO | OGGETTI VARI | OROLOGI | TESSUTI | PIATTI | PORCELLANE | VASI
http://w3id.org/zac/88743_lot_6,12,ARMI | ARGENTI | MAIOLICHE | MOBILI | FOTOGRAFIE | LAMPADE | MOBEL; SITZMOBEL | ORIGINALAQUARELLE; ZEICHNUNGEN | OGGETTI VARI | OGGETTI IN LEGNO | OGGETTI IN LATTA | PORCELLANE
http://w3id.org/zac/51205_lot_2,11,CERAMICHE | BIANCHERIA | FURNITURE; JAPANESE LACQUER | MERLETTI | LAMPADE | LUSTRI | OGGETTI IN METALLO | OGGETTI LITURGICI | PORCELLANE | POTTERY; PORCELAINS | VETRI
http://w3id.org/zac/5444_lot_3,11,CANDELABRI | Jeudi 12 Mai | MOBILI | Mercredi 11 Mai | Mardi 17 Mai | OGGETTI VARI | OGGETTI IN LEGNO | Vendredi 13 Mai | VASI | SCULTURE | STAMPE E INCISIONI
http://w3id.org/zac/81771_lot_3,11,DIPINTI | ARGENTI | MARMI | MAIOLICHE | MOBILI | LUSTRI | OGGETTI VARI | OGGETTI IN LEGNO | VETRI | TESSUTI | VASI
http://w3id.org/zac/81775_lot_2,11,DIPINTI | Bronzi; Marmi; Terrecotte; Avorii; Legni | CORNICI | Maioliche; porcellane | MINIATURE | Medaglie; Placchette | Libri; Legature; Autograf | MAIOLICHE; PORCELLANE | MOBILI | Maioliche; Porcellane | OGGETTI IN LEGNO | STAMPE E INCISIONI | VASI
http://w3id.org/zac/81775_lot_3,11,CORNICI | DIPINTI | Bronzi; Marmi; Terrecotte; Avorii; Legni | MAIOLICHE; PORCELLANE | MOBILI | Maioliche; Porcellane | Libri; Legature; Autograf | Maioliche; porcellane | MINIATURE | Medaglie; Placchette | PORCELLANE | STAMPE E INCISIONI | VASI
http://w3id.org/zac/83709_lot_2,11,ARGENTI | LAQUES; EMAUX CLOISONNES | OGGETTI IN LEGNO | PERLES; DIAMANTS | OGGETTI VARI | PIATTI | OGGETTI IN METALLO | TENTURES; BRODERIES; GUIPURES | SCULTURE | Porcelaines; faiences | PORCELAINES; FAIENCES | SEDIE | Porcelaines; Faiences
http://w3id.org/zac/83709_lot_6,11,AUTOMOBILI | MOBILI | LAQUES; EMAUX CLOISONNES | PERLES; DIAMANTS | PIATTI | OGGETTI IN LEGNO | OGGETTI LACCATI | PORCELAINES; FAIENCES | TENTURES; BRODERIES; GUIPURES | Porcelaines; Faiences | VENTAGLI | Porcelaines; faiences | SEDIE
http://w3id.org/zac/83835_lot_I,11,BRONZES; CUIVRES | DIPINTI | BASSORILIEVI | ANTIQUES; OBJETS DIVERS | Bronzes; Cuivres | MINIATURE | ETOFFES; DENTELLES | MAIOLICHE | Le Mercredi 4 Avril 1906 | OGGETTI IN LEGNO | STAMPE E INCISIONI | SCULTURE
http://w3id.org/zac/84273_lot_I,11,BRONZI | Bronzes; Pendules | BRONZES; PENDULES | bronzes; pendules | CAMINI | MOBILI | OGGETTI IN LEGNO | OGGETTI D'ARTE | OGGETTI VARI | SEDIE | STAMPE E INCISIONI | VASI | SCULTURE
http://w3id.org/zac/87363_lot_12,11,Bilder; Miniaturen | ABITI | Bronce; Messingwaaren | Kostumstucke; Kostume; Stickereien | Fayence; glasirte Thonwaaren | MOBILI | Kriegs- und Jagd-Waffen; Jagdgerathschaften | OGGETTI IN LEGNO | OGGETTI IN LATTA | OGGETTI IN FERRO | VETRI
http://w3id.org/zac/87363_lot_4,11,BRONZI | Bronce; Messingwaaren | Fayence; glasirte Thonwaaren | Kriegs- und Jagd-Waffen; Jagdgerathschaften | Kostumstucke; Kostume; Stickereien | OGGETTI IN LEGNO | OROLOGI | OGGETTI VARI | OGGETTI IN FERRO | TESSUTI | VETRI
http://w3id.org/zac/87369_lot_5,11,ARGENTI | MAIOLICHE | Medaillen; Münzen | OGGETTI IN LATTA | OGGETTI IN ORO | OGGETTI VARI | OGGETTI IN FERRO | OGGETTI IN LEGNO | PORCELLANE | PIATTI | SCULTURE
http://w3id.org/zac/87382_lot_3,11,ARGENTI | Anhänger; Colliers | CORNICI | ALTERTÜMER | BRONZI | OGGETTI IN FERRO | SCATOLE | STAGNI | TAFEL-GERÄTE | Riechbüchschen; Flacons | SPECCHI
http://w3id.org/zac/87389_lot_2,11,BRONZI | AVORI | MARMI | Glas; Email-Nippsachen; Bronze; Uhren; Schmuck; Miniaturen | LAMPADE | OGGETTI IN ORO | Orden; silberne Pokale; Prachtdegen; Reitpeitschen | OGGETTI VARI | STAMPE E INCISIONI | Porzellan-Figuren; Gefasse; Tassen; Teller | PIATTI
http://w3id.org/zac/87545_lot_1,11,BRONZI | Bucher; Einbande | DIPINTI | Farbenstiche; Schabkunst- und Linienstiche | MINIATURE | FOTOGRAFIE | OGGETTI VARI | OGGETTI IN FERRO | OGGETTI IN ORO | STAGNI | Wand- und Fussteppiche; Textilarbeiten
